,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
2918,trying,16872,2625,17,992.4705882352941,154.41176470588235
2925,abuse,133701,8397,28,4775.035714285715,299.89285714285717
2927,missouri,112930,9973,17,6642.941176470588,586.6470588235294
2931,sheriffs,174994,8198,19,9210.21052631579,431.4736842105263
2934,inside,202955,13582,24,8456.458333333334,565.9166666666666
2943,men,369499,30532,31,11919.322580645161,984.9032258064516
2957,heat,44064,5742,17,2592.0,337.7647058823529
2961,john,92446,6854,16,5777.875,428.375
2973,get,324484,21960,42,7725.809523809524,522.8571428571429
2976,used,376669,27323,35,10761.971428571429,780.6571428571428
3000,pandemic,73381,10003,44,1667.75,227.3409090909091
3050,johnson,207928,15957,23,9040.347826086956,693.7826086956521
3057,residents,137739,8452,18,7652.166666666667,469.55555555555554
3063,fake,100363,5769,30,3345.4333333333334,192.3
3073,claims,83755,6292,33,2538.030303030303,190.66666666666666
3074,london,17016,1968,22,773.4545454545455,89.45454545454545
3075,canadian,98153,3405,16,6134.5625,212.8125
3079,michigan,225972,14742,46,4912.434782608696,320.4782608695652
3096,mom,55374,6004,18,3076.3333333333335,333.55555555555554
3128,outside,232368,23121,35,6639.085714285714,660.6
3131,head,109476,7511,24,4561.5,312.9583333333333
3146,ohio,69959,9584,18,3886.6111111111113,532.4444444444445
3178,seen,115714,9019,17,6806.705882352941,530.5294117647059
3204,fully,191619,16225,16,11976.1875,1014.0625
3226,dc,533608,42997,36,14822.444444444445,1194.361111111111
3252,flag,363718,21184,26,13989.153846153846,814.7692307692307
3255,colorado,330235,14432,20,16511.75,721.6
3296,massive,16580,1777,22,753.6363636363636,80.77272727272727
3310,nasa,140877,4327,18,7826.5,240.38888888888889
3342,oregon,136590,8003,25,5463.6,320.12
3348,carolina,280429,16477,27,10386.25925925926,610.2592592592592
3361,fir,97779,5826,24,4074.125,242.75
3398,son,122142,9357,24,5089.25,389.875
3419,restrictions,135809,9035,23,5904.739130434783,392.82608695652175
3424,nj,89724,6882,22,4078.3636363636365,312.8181818181818
3430,boys,176479,6475,18,9804.388888888889,359.72222222222223
3438,alaska,125584,6871,21,5980.190476190476,327.1904761904762
3446,employees,467902,35620,38,12313.21052631579,937.3684210526316
3472,district,209556,10960,19,11029.263157894737,576.8421052631579
3484,homeless,66762,3876,17,3927.176470588235,228.0
3503,sexual,243544,14014,45,5412.0888888888885,311.4222222222222
3507,viol,159409,7287,18,8856.055555555555,404.8333333333333
3523,records,81311,11820,21,3871.9523809523807,562.8571428571429
3552,positive,470226,29989,32,14694.5625,937.15625
3555,sent,308740,19612,17,18161.176470588234,1153.6470588235295
3560,businesses,125820,8719,18,6990.0,484.3888888888889
3570,nyc,95769,8148,20,4788.45,407.4
3618,small,334823,18012,19,17622.263157894737,948.0
3669,act,119779,8325,17,7045.823529411765,489.70588235294116
3672,sales,106305,6694,16,6644.0625,418.375
3701,seeks,11743,2259,17,690.7647058823529,132.88235294117646
3724,america,113204,11518,17,6659.058823529412,677.5294117647059
3729,sues,180475,16270,30,6015.833333333333,542.3333333333334
3774,tests,271501,17759,19,14289.526315789473,934.6842105263158
3781,trump,791573,63345,32,24736.65625,1979.53125
3811,wife,125358,5529,18,6964.333333333333,307.1666666666667
3812,fraud,130338,3960,24,5430.75,165.0
3885,arrests,164508,8541,19,8658.315789473685,449.5263157894737
3916,bill,268220,11818,26,10316.153846153846,454.53846153846155
3924,tells,199316,14455,18,11073.111111111111,803.0555555555555
3992,r,174161,14534,20,8708.05,726.7
4029,water,173969,6154,25,6958.76,246.16
4030,customers,161298,14232,16,10081.125,889.5
4076,historic,70693,4193,18,3927.3888888888887,232.94444444444446
4096,make,131865,6763,24,5494.375,281.7916666666667
4151,fbi,868324,57827,53,16383.471698113208,1091.0754716981132
4251,masks,351119,21860,31,11326.41935483871,705.1612903225806
4311,bans,373714,32115,25,14948.56,1284.6
4337,floyds,290135,17440,22,13187.954545454546,792.7272727272727
4342,department,69562,7391,28,2484.3571428571427,263.9642857142857
4364,told,176442,9054,23,7671.391304347826,393.6521739130435
4457,delta,26722,4926,18,1484.5555555555557,273.6666666666667
4520,called,236450,19010,21,11259.52380952381,905.2380952380952
4527,sheriff,111880,10759,19,5888.421052631579,566.2631578947369
4531,seattle,349566,18964,27,12946.888888888889,702.3703703703703
4556,loan,289574,16762,18,16087.444444444445,931.2222222222222
4628,days,231101,13808,28,8253.607142857143,493.14285714285717
4654,land,54581,4637,18,3032.277777777778,257.6111111111111
4656,resigns,158061,8341,18,8781.166666666666,463.3888888888889
4954,wisconsin,272552,17403,18,15141.777777777777,966.8333333333334
5021,alabama,541978,27192,33,16423.575757575756,824.0
5429,name,114370,6215,18,6353.888888888889,345.27777777777777
5432,traffic,99794,7187,16,6237.125,449.1875
5549,cant,635553,40827,18,35308.5,2268.1666666666665
5828,fda,24035,3197,17,1413.8235294117646,188.05882352941177
5978,nypd,472196,22597,23,20530.260869565216,982.4782608695652
6107,medical,160599,15664,19,8452.578947368422,824.421052631579
6170,philadelphia,118038,7536,16,7377.375,471.0
6548,unemployment,147170,11351,17,8657.058823529413,667.7058823529412
