,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
118,job,160958,8803,25,6438.32,352.12
120,office,274707,15497,28,9810.964285714286,553.4642857142857
121,chief,498660,26183,67,7442.686567164179,390.7910447761194
122,former,628541,53801,96,6547.302083333333,560.4270833333334
125,arrested,1253199,73739,151,8299.331125827815,488.3377483443709
128,north,288798,17319,50,5775.96,346.38
129,korea,6137,898,25,245.48,35.92
133,u,168391,17810,30,5613.033333333334,593.6666666666666
137,exclusive,71968,3370,19,3787.7894736842104,177.3684210526316
138,deal,2794,697,16,174.625,43.5625
148,national,280441,19459,49,5723.285714285715,397.1224489795918
153,tim,52418,5548,24,2184.0833333333335,231.16666666666666
154,companies,155352,7297,22,7061.454545454545,331.6818181818182
156,racism,224565,13278,20,11228.25,663.9
157,face,402191,23245,58,6934.327586206897,400.7758620689655
163,help,113470,9587,33,3438.4848484848485,290.5151515151515
165,employee,24829,3440,18,1379.388888888889,191.11111111111111
167,firm,74477,4694,19,3919.842105263158,247.05263157894737
168,covid,2140626,161613,355,6029.9323943661975,455.24788732394364
170,vaccine,487171,34155,103,4729.815533980583,331.6019417475728
173,two,390404,22420,94,4153.234042553191,238.51063829787233
174,patients,118484,12742,16,7405.25,796.375
178,hom,196950,21124,38,5182.894736842105,555.8947368421053
180,possible,75113,7798,23,3265.782608695652,339.04347826086956
181,war,42537,2493,29,1466.7931034482758,85.96551724137932
182,iran,7534,2877,39,193.17948717948718,73.76923076923077
192,police,3807609,315097,539,7064.209647495361,584.595547309833
193,investigating,82064,5493,23,3568.0,238.82608695652175
195,shooting,341330,33551,107,3190.0,313.5607476635514
200,virus,95501,9382,29,3293.137931034483,323.51724137931035
204,time,146590,7715,43,3409.0697674418607,179.41860465116278
205,apple,10064,1252,24,419.3333333333333,52.166666666666664
207,eu,4767,1081,30,158.9,36.03333333333333
208,tax,227200,13571,19,11957.894736842105,714.2631578947369
209,ord,297542,24271,21,14168.666666666666,1155.7619047619048
219,plan,271037,13764,39,6949.666666666667,352.9230769230769
220,take,313154,18367,41,7637.90243902439,447.9756097560976
221,facebook,328200,15333,53,6192.452830188679,289.3018867924528
223,spacex,4146,740,18,230.33333333333334,41.111111111111114
230,threatens,86401,6465,16,5400.0625,404.0625
231,end,264535,28501,40,6613.375,712.525
234,push,69628,4328,16,4351.75,270.5
237,demand,112145,8692,18,6230.277777777777,482.8888888888889
241,un,43299,2860,42,1030.9285714285713,68.0952380952381
242,work,325483,17992,41,7938.609756097561,438.8292682926829
247,aid,51575,8307,25,2063.0,332.28
248,pandem,81271,8236,26,3125.8076923076924,316.7692307692308
253,support,217933,7798,21,10377.761904761905,371.3333333333333
255,prosecutor,171154,10706,23,7441.478260869565,465.4782608695652
258,attack,371998,19951,91,4087.8901098901097,219.24175824175825
261,plane,51402,4510,18,2855.6666666666665,250.55555555555554
262,lake,105550,10744,17,6208.823529411765,632.0
264,rally,171253,16421,24,7135.541666666667,684.2083333333334
271,uk,169651,11882,81,2094.456790123457,146.69135802469137
275,due,264802,13917,32,8275.0625,434.90625
279,fund,79146,10691,18,4397.0,593.9444444444445
284,ny,112229,10372,24,4676.208333333333,432.1666666666667
285,gov,534818,27577,30,17827.266666666666,919.2333333333333
286,cuomo,244104,16948,18,13561.333333333334,941.5555555555555
287,gives,81919,9655,19,4311.526315789473,508.1578947368421
289,open,174802,12952,21,8323.904761904761,616.7619047619048
292,died,134294,10527,26,5165.153846153846,404.88461538461536
296,school,635164,55796,86,7385.627906976744,648.7906976744187
299,street,90649,6107,30,3021.633333333333,203.56666666666666
308,leader,365111,17037,28,13039.67857142857,608.4642857142857
314,doctor,121114,9259,25,4844.56,370.36
315,killed,539756,47002,114,4734.701754385965,412.29824561403507
